Simulation_number,lambda0,lambda1,mu0,mu1,rho0,rho1,q01,q10,e0,e1,nloglike,Comments
315,0.464320052,2.32E-07,1.74E-10,0.171285073,0.047248741,9.29E-13,1.27743E+16,8.15437E+15,5.61E-10,3.48E-06,-10105.83349,failed optimization
66,0.266709312,0.002180307,0.227585825,1.67E-06,0.000164695,0.032568008,1.531722216,1.638237277,2.38797E+16,0.00206173,910.5914327,failed optimization
141,2.00E-06,0.112142367,4.30E-06,0.244750528,0.027056675,3.49E-12,74011288.04,76076406.54,1.40836E+16,0.000180135,12420.03494,Parameters out of bounds
469,0.125975741,0.002013321,0.263220692,0.001995657,0.034083811,0.008359046,0.041999762,0.02156642,40.68839451,3.925946466,13062.02393,
479,0.156311251,0.001500586,0.275656794,0.004787484,0.035275034,0.007022397,0.035933615,0.019062883,29.78902566,0.794105849,13062.43031,
309,0.137603793,0.003370276,0.273975325,0.000507376,0.037418839,0.00520996,0.044745534,0.021925048,9014.565855,4100.460319,13076.13212,
73,0.130216474,0.002715261,0.252757345,0.005392132,0.03456362,0.005845156,0.030662746,0.017123315,846.2797657,1.911733722,13081.77643,
447,0.102699361,0.003153457,0.236491266,0.000276546,0.039426408,0.005898061,0.050781387,0.02535393,1091.265606,1168.381991,13085.8469,
416,0.105511619,0.000686863,0.241287159,0.003563206,0.038776723,0.005968888,0.043822275,0.02381058,80383.82094,2.075420222,13088.25568,
105,0.087473888,0.003095585,0.2333635,0.000334037,0.040359447,0.006158686,0.047265308,0.025627928,63359.10103,27.88662202,13091.97695,
232,0.150286236,0.000138083,0.243159045,1.27E-05,0.0379718,0.005507011,0.052280251,0.027493576,3081218.896,206770.8624,13095.37003,
1,0.082642841,0.004447156,0.250563603,0.004073904,0.040107841,0.005560127,0.034775798,0.019429973,24543.58399,13.47753359,13095.41504,
351,0.10160147,0.005487256,0.217242428,2.41E-05,0.03759252,0.005533459,0.040594044,0.021950477,92964.83796,33516.11781,13101.14345,
310,0.128326164,2.26E-06,0.255702127,0.001691885,0.040722567,0.00620906,0.046221276,0.027252437,108.4318376,444.751142,13115.60409,
399,0.119743913,0.003533752,0.258425793,0.001254519,0.037395325,0.007225138,0.044049782,0.025477118,18.68315807,157.7082615,13117.21489,
268,0.148534132,0.001612276,0.28905764,0.001153603,0.035157888,0.007650307,0.037681946,0.02079277,72.84684986,633.1929364,13117.46845,
3,0.221617524,0.003385946,0.261771162,0.00106098,0.032243166,0.005321507,0.047720941,0.022785286,1395.632837,2192.771589,13121.23934,
242,0.098258528,9.20E-05,0.245573095,0.001064037,0.03996527,0.00654074,0.051542963,0.02810062,2241822.486,0.001356775,13124.56393,
500,0.172110489,0.000829435,0.265573561,7.73E-06,0.037369332,0.00573747,0.049063429,0.024554374,151490.9379,0.057515817,13125.81218,
205,0.11710399,0.000744419,0.203227989,0.000386065,0.036196253,0.008163661,0.072413454,0.035461298,27052.39243,5691.027844,13130.12709,
50,0.100444442,0.000166559,0.216334072,0.00494819,0.035736818,0.007420566,0.039052375,0.020036167,19.41620157,188.3042206,13135.85169,
119,0.248082536,5.16E-08,0.28889659,0.006090884,0.031156146,0.007411262,0.050055494,0.023097579,444.1603223,25.29370376,13136.712,
173,0.047599581,0.004061672,0.218750924,0.005458899,0.036715171,0.007408652,0.041336369,0.015856261,1.526906916,2.654392784,13137.49696,
144,0.317421312,0.003352487,0.399036728,0.003788187,0.026535828,0.005660478,0.032370563,0.015838215,627120.0963,324.9602885,13144.76809,
147,0.032620531,0.007213762,0.214564968,0.000229464,0.046856331,0.005501326,0.041206221,0.026713478,152435.4095,4324.412716,13147.58204,
444,0.135152584,0.012438781,0.143515856,0.015057046,0.034938547,0.012800033,0.018988248,0.008444394,212.800996,13.37344086,13148.62791,
176,0.129794965,0.000845994,0.288736478,5.04E-05,0.038278989,0.005644266,0.056816412,0.032450379,217094169.3,3.538467332,13152.82281,
481,0.387924251,0.002747725,0.421005717,0.004691324,0.023584194,0.007987122,0.030984965,0.013944557,7701.302416,752.3630218,13153.9329,
87,0.111612247,0.018692895,0.166810068,0.005781185,0.033997767,0.013054589,0.01902049,0.010109152,84.52289229,0.205070035,13158.60153,
340,0.044646163,6.84E-05,0.236495113,0.001746508,0.055359064,0.003349798,0.063145488,0.032855846,59070.02132,130.240284,13160.62448,
137,0.090805969,1.86E-05,0.222234452,0.005027347,0.02904792,0.008159664,0.038707784,0.012206289,34.02686941,9.727016526,13165.23067,
246,0.292037144,5.12E-07,0.356163103,0.002010221,0.042910839,0.005947763,0.04195069,0.021748268,153073.8566,2.439590304,13165.80388,
42,0.042227971,0.008078828,0.203195623,0.009459468,0.038577262,0.007165846,0.026635953,0.013222077,2147.52506,8481.413883,13167.28154,
200,0.192117123,0.008263009,0.232052246,0.000424444,0.028376484,0.009617033,0.033008263,0.015729235,22.73710982,115.9446765,13179.44852,
322,0.028285127,0.006052693,0.274012212,0.004278831,0.049021489,0.00758475,0.051227968,0.026020531,31158.30944,50.94734181,13180.15075,
171,0.254942856,0.000449791,0.262841163,0.001537088,0.03002863,0.004633954,0.039616941,0.035905768,416.0010702,0.083687697,13192.9383,
224,0.176003408,0.010735098,0.291465209,0.00425063,0.041193582,0.007150501,0.021738508,0.019033745,4794.448989,17629.67755,13195.9266,
296,0.027478204,0.000904343,0.274531458,0.001782324,0.049434032,0.004164509,0.057487602,0.029851803,126491520.7,7.809119701,13201.85092,
158,0.102805641,0.001511509,0.236187989,0.006201273,0.036832382,0.004808728,0.039565446,0.019418155,0.913845489,144.3574288,13202.6742,
11,0.111171455,0.017792193,0.153691834,0.010752194,0.033664094,0.012434136,0.014559395,0.007657014,871.1249222,18993.02234,13223.03657,
