OptimNumber,lambda0,lambda1,mu0,mu1,rho,q01,q10,e0,e1,nloglike,Comments
371,0.208748616,5.50E-12,0.135904682,3.38E-08,0.021017638,831945952.4,568885887,9.69551E+16,0.013643233,-257.1672287,No convergece
384,0.095091237,4.83E-12,0.121455282,5.01E-07,0.011004385,1.56617E+16,1.48081E+16,1.052604875,2.27E-16,2513.262134,No convergece
136,0.082394414,0.010516682,0.113450749,0.025961863,0.020513114,0.012812792,0.006351607,2939.515144,349.28132,13169.4137,Close to MLE
279,0.085670309,0.011530378,0.111273713,0.024920427,0.020642731,0.012324612,0.005905054,70.02566745,23.8463949,13170.64755,
115,0.090601876,0.012381345,0.112472135,0.024375308,0.020800526,0.012871644,0.005870254,177.0928516,8.372542821,13171.37887,
71,0.086833709,0.007622312,0.120176793,0.026457577,0.020729592,0.012518205,0.0061639,156.7309676,31.72017537,13172.62186,
162,0.088005494,0.010361811,0.115504922,0.025309261,0.020559028,0.012477483,0.006186397,185.5458059,1.647971072,13173.88436,
477,0.072613484,0.010775684,0.121783115,0.026113447,0.020678161,0.013067494,0.005576032,364.2024486,142.6590586,13174.87561,
76,0.076224039,0.011550649,0.111309922,0.0265471,0.020885476,0.012747012,0.005927087,90.70817047,61.21988573,13175.79129,
182,0.063809856,0.00945008,0.122304496,0.024393107,0.018492038,0.013809965,0.007738492,26.0148951,1.074205744,13183.89455,
54,0.101588132,0.011579066,0.118879301,0.024123741,0.020185482,0.01363909,0.003487241,787.3054278,80.52635867,13187.35623,
35,0.083971295,0.015363618,0.120644826,0.017217895,0.019587825,0.013210894,0.00655697,2521.465521,90.77965586,13188.57046,
85,0.112107596,0.008600557,0.116256363,0.025479363,0.020681624,0.013467291,0.004541341,408.158027,2.182386644,13188.92403,
12,0.085887363,0.019163561,0.094979188,0.01795659,0.02171224,0.013426177,0.00563348,82.04108736,8.81244644,13191.67121,
306,0.099564417,0.017631456,0.093046416,0.019798528,0.023781001,0.012380095,0.005738937,52.88172073,0.962002606,13194.3827,
